Date,Open,High,Low,Close
2025-01-02,17.21,19.5,16.96,17.93
2025-01-03,17.66,17.94,16.11,16.13
2025-01-06,16.77,16.87,15.71,16.04
2025-01-07,16.48,18.9,15.79,17.82
2025-01-08,17.91,19.5,17.37,17.7
2025-01-10,18.29,20.31,18.05,19.54
2025-01-13,21.18,22.04,19.15,19.19
2025-01-14,18.79,19.66,18.24,18.71
2025-01-15,19.08,19.14,15.96,16.12
2025-01-16,15.87,16.6,15.64,16.6
2025-01-17,16.19,16.23,15.53,15.97
2025-01-21,16.29,16.29,14.93,15.06
2025-01-22,14.89,15.29,14.59,15.1
2025-01-23,15.28,15.39,14.59,15.02
2025-01-24,15.02,15.16,14.58,14.85
2025-01-27,18.83,22.51,17.57,17.9
2025-01-28,18.29,18.39,16.25,16.41
2025-01-29,16.42,18.08,16.17,16.56
2025-01-30,15.93,16.42,15.32,15.84
2025-01-31,15.45,17.09,14.9,16.43
2025-02-03,20.36,20.42,17.66,18.62
2025-02-04,18.78,19.11,16.78,17.21
2025-02-05,17.54,17.75,15.77,15.77
2025-02-06,15.88,16.15,14.99,15.5
2025-02-07,15.38,16.66,14.79,16.54
2025-02-10,16.58,16.61,15.7,15.81
2025-02-11,16.13,16.42,15.75,16.02
2025-02-12,15.91,17.18,15.64,15.89
2025-02-13,15.97,16.33,14.98,15.1
2025-02-14,15.08,15.42,14.74,14.77
2025-02-18,15.57,16.03,15.35,15.35
2025-02-19,15.14,15.96,15.05,15.27
2025-02-20,15.61,16.63,15.12,15.66
2025-02-21,15.63,19.03,15.28,18.21
2025-02-24,18.08,20.24,17.31,18.98
2025-02-25,19.09,21.48,18.85,19.43
2025-02-26,18.96,20.06,17.83,19.1
2025-02-27,18.25,21.47,17.67,21.13
2025-02-28,21.21,22.4,19.05,19.63
2025-03-03,19.83,24.31,19.25,22.78
2025-03-04,22.96,26.35,21.71,23.51
2025-03-05,23.03,24.84,21.37,21.93
2025-03-06,22.6,25.92,22.39,24.87
2025-03-07,24.85,26.56,23.09,23.37
2025-03-10,24.7,29.56,24.68,27.86
2025-03-11,27.94,29.57,26.18,26.92
2025-03-12,26.88,26.91,23.89,24.23
2025-03-13,24.92,26.13,23.46,24.66
2025-03-14,24.35,24.36,21.48,21.77
2025-03-17,22.89,22.95,20.32,20.51
2025-03-18,20.83,22.57,20.41,21.7
2025-03-19,21.84,22.1,19.42,19.9
2025-03-20,19.52,21.17,19.3,19.8
2025-03-21,20.02,21.14,19.15,19.28
2025-03-24,19.13,19.14,17.46,17.48
2025-03-25,17.58,17.77,17.02,17.15
2025-03-26,17.23,19.07,16.97,18.33
2025-03-27,18.36,19.28,17.95,18.69
2025-03-28,19.08,22.18,18.92,21.65
2025-03-31,24.11,24.8,21.67,22.28
2025-04-01,22.06,23.52,21.58,21.77
2025-04-02,22.3,23.66,20.68,21.51
2025-04-03,26.38,30.02,24.93,30.02
2025-04-04,30.12,45.61,29.99,45.31
2025-04-07,60.13,60.13,38.58,46.98
2025-04-08,44.04,57.52,36.48,52.33
2025-04-09,50.98,57.96,31.9,33.62
2025-04-10,34.44,54.87,34.44,40.72
