Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,45.1,49.02,44.85,46.84,46.84,4286400.0
2025-01-03,46.0,46.3,44.09,44.1,44.1,4058100.0
2025-01-06,43.82,44.88,43.28,43.9,43.9,3990200.0
2025-01-07,43.49,47.4,43.4,46.41,46.41,6018700.0
2025-01-08,47.08,48.61,45.93,46.34,46.34,6497500.0
2025-01-10,47.93,50.47,47.59,49.45,49.45,7039600.0
2025-01-13,51.11,51.5,48.12,48.52,48.52,6044300.0
2025-01-14,47.63,49.06,46.42,47.42,47.42,4712800.0
2025-01-15,45.05,45.15,43.43,43.55,43.55,8376200.0
2025-01-16,43.43,43.91,43.11,43.62,43.62,4314200.0
2025-01-17,42.97,43.96,42.77,43.96,43.96,5609600.0
2025-01-21,43.03,43.4,41.98,42.11,42.11,5739500.0
2025-01-22,42.08,42.86,41.98,42.75,42.75,6643100.0
2025-01-23,42.55,42.61,41.7,41.93,41.93,6331500.0
2025-01-24,41.61,42.15,41.46,41.74,41.74,4121100.0
2025-01-27,46.7,46.92,43.94,44.49,44.49,15686400.0
2025-01-28,44.0,45.21,42.74,43.02,43.02,5986700.0
2025-01-29,42.9,44.56,42.66,42.91,42.91,4453100.0
2025-01-30,42.3,43.24,42.16,42.68,42.68,3757500.0
2025-01-31,42.14,44.72,41.92,44.12,44.12,7280700.0
2025-02-03,47.13,48.2,43.48,45.07,45.07,11995500.0
2025-02-04,44.52,45.07,43.42,43.69,43.69,4992400.0
2025-02-05,43.74,44.3,42.7,42.8,42.8,3788800.0
2025-02-06,42.39,43.33,42.34,42.53,42.53,3461100.0
2025-02-07,42.19,44.12,42.13,43.96,43.96,5003000.0
2025-02-10,43.17,43.59,42.83,42.85,42.85,4524100.0
2025-02-11,43.14,43.33,42.56,42.9,42.9,4022800.0
2025-02-12,43.97,44.26,42.64,42.87,42.87,5264200.0
2025-02-13,42.81,43.3,42.06,42.06,42.06,5243700.0
2025-02-14,42.08,42.47,41.83,42.0,42.0,4106700.0
2025-02-18,41.75,42.17,41.44,41.8,41.8,5824200.0
2025-02-19,42.2,42.2,41.27,41.27,41.27,4511600.0
2025-02-20,41.31,42.3,41.04,41.49,41.49,6614700.0
2025-02-21,41.51,44.87,41.49,44.33,44.33,13516900.0
2025-02-24,43.85,45.76,43.08,44.7,44.7,8911100.0
2025-02-25,45.0,47.03,44.02,45.14,45.14,13493500.0
2025-02-26,44.57,45.44,43.04,44.1,44.1,6515200.0
2025-02-27,43.48,46.79,43.25,46.57,46.57,9470200.0
2025-02-28,47.13,48.15,45.39,45.83,45.83,6939900.0
2025-03-03,44.51,50.78,44.51,49.29,49.29,8262200.0
2025-03-04,51.57,54.51,48.33,50.59,50.59,13644800.0
2025-03-05,50.23,51.75,48.27,48.45,48.45,12953700.0
2025-03-06,51.47,53.9,50.16,53.73,53.73,13126200.0
2025-03-07,53.39,55.34,51.02,51.23,51.23,8451100.0
2025-03-10,53.94,57.87,53.52,56.48,56.48,13192700.0
2025-03-11,57.32,60.28,55.94,56.94,56.94,11258100.0
2025-03-12,54.71,57.39,53.53,53.97,53.97,7671800.0
2025-03-13,54.16,57.57,53.22,56.28,56.28,10396900.0
2025-03-14,54.53,54.83,51.27,51.53,51.53,5744300.0
2025-03-17,50.94,50.95,49.22,49.51,49.51,7345600.0
2025-03-18,49.3,51.64,49.03,50.8,50.8,5664900.0
2025-03-19,50.41,50.81,48.0,49.18,49.18,5609500.0
2025-03-20,50.01,50.31,47.89,48.33,48.33,5634600.0
2025-03-21,49.24,49.98,48.1,48.1,48.1,4138600.0
2025-03-24,46.71,46.74,45.16,45.45,45.45,6154900.0
2025-03-25,44.94,45.8,44.85,45.8,45.8,4381900.0
2025-03-26,45.0,47.98,45.0,46.94,46.94,5806100.0
2025-03-27,47.68,48.46,46.58,47.18,47.18,4392100.0
2025-03-28,48.06,51.7,47.47,51.42,51.42,7170200.0
2025-03-31,54.35,55.31,50.84,51.47,51.47,7029900.0
2025-04-01,52.17,54.0,50.69,51.48,51.48,4972500.0
2025-04-02,53.65,53.65,49.18,50.09,50.09,6785300.0
2025-04-03,57.51,62.61,55.93,62.49,62.49,17355500.0
2025-04-04,69.93,76.46,66.72,74.85,74.85,27055000.0
2025-04-07,81.74,84.82,68.23,74.35,74.35,20805300.0
2025-04-08,67.88,91.19,67.31,85.42,85.42,17692900.0
2025-04-09,87.18,89.23,63.35,67.79,67.79,19785800.0
2025-04-10,72.09,87.05,69.61,79.2,79.2,25099900.0
2025-04-11,81.64,85.79,76.64,77.12,77.12,13651400.0
2025-04-14,70.52,75.75,68.03,68.03,68.03,9896000.0
2025-04-15,68.5,69.37,65.69,68.32,68.32,8451200.0
2025-04-16,70.66,75.31,68.39,73.36,73.36,8144100.0
2025-04-17,71.67,73.1,70.94,71.34,71.34,5546900.0
2025-04-21,72.25,77.62,72.06,76.52,76.52,6494400.0
2025-04-22,73.08,73.49,70.57,70.94,70.94,4699100.0
2025-04-23,67.61,70.76,66.29,68.38,68.38,8140600.0
2025-04-24,67.82,68.04,65.62,65.86,65.86,5997500.0
2025-04-25,65.78,67.26,63.21,63.34,63.34,6882800.0
2025-04-28,62.32,66.11,62.32,63.68,63.68,4265200.0
2025-04-29,64.28,64.69,62.75,63.02,63.02,3191600.0
2025-04-30,65.22,68.47,64.02,64.64,64.64,6234200.0
2025-05-01,62.75,64.58,62.57,63.42,63.42,4003600.0
2025-05-02,62.17,62.75,60.79,61.01,61.01,3950800.0
2025-05-05,62.0,62.64,60.95,62.13,62.13,3092000.0
2025-05-06,64.05,64.79,62.69,64.55,64.55,3943900.0
2025-05-07,63.73,64.99,62.46,62.83,62.83,3326900.0
2025-05-08,61.78,62.24,59.85,60.44,60.44,3659500.0
2025-05-09,60.17,60.63,59.28,59.95,59.95,2719500.0
2025-05-12,55.44,55.5,52.09,52.17,52.17,7075400.0
2025-05-13,51.36,51.9,50.28,51.82,51.82,4850200.0
2025-05-14,51.91,53.17,51.81,52.94,52.94,4444600.0
2025-05-15,53.43,53.97,51.99,52.07,52.07,4480700.0
2025-05-16,51.59,52.31,51.24,51.83,51.83,5464000.0
2025-05-19,53.88,54.24,52.07,52.47,52.47,4176600.0
2025-05-20,52.28,53.36,51.88,52.09,52.09,4851100.0
2025-05-21,53.14,56.38,52.16,55.66,55.66,6869700.0
2025-05-22,56.02,56.39,54.21,55.1,55.1,3475000.0
2025-05-23,59.0,59.36,56.91,58.79,58.79,6660900.0
2025-05-27,55.13,55.8,52.83,52.88,52.88,5036500.0
2025-05-28,52.76,53.88,52.76,53.49,53.49,2390800.0
2025-05-29,52.15,54.36,52.09,53.55,53.55,2797400.0
2025-05-30,54.25,55.96,53.26,53.83,53.83,4629700.0
2025-06-02,54.34,54.81,53.19,53.28,53.28,3247100.0
2025-06-03,53.03,53.26,51.93,52.11,52.11,2445600.0
2025-06-04,51.9,52.48,51.76,52.02,52.02,2289200.0
2025-06-05,51.42,53.53,50.56,53.02,53.02,5422100.0
2025-06-06,51.63,51.75,50.65,50.81,50.81,3668700.0
2025-06-09,50.5,50.77,49.85,50.32,50.32,2380700.0
2025-06-10,50.28,50.53,49.76,50.08,50.08,3588200.0
2025-06-11,49.18,51.29,48.67,50.51,50.51,5716100.0
2025-06-12,51.21,51.51,50.26,51.16,51.16,4864100.0
2025-06-13,53.58,56.01,52.23,55.15,55.15,12315600.0
2025-06-16,52.97,52.98,50.84,51.29,51.29,7065200.0
2025-06-17,52.28,55.22,51.94,54.22,54.22,7635500.0
2025-06-18,54.24,54.86,51.87,52.9,52.9,6302800.0
2025-06-20,52.39,54.24,52.07,53.46,53.46,5593200.0
